#     tilt      yield      error
   0.00000    2.02330    0.00080
   5.00000    2.04850    0.00080
  10.00000    2.13250    0.00080
  15.00000    2.27100    0.00090
  20.00000    2.46780    0.00090
  25.00000    2.73250    0.00100
  30.00000    3.07350    0.00110
  35.00000    3.51050    0.00110
  40.00000    4.06870    0.00120
  45.00000    4.78500    0.00140
  50.00000    5.72880    0.00150
  52.50000    6.30020    0.00160
  55.00000    6.95520    0.00170
  57.50000    7.71380    0.00180
  60.00000    8.57690    0.00190
  61.00000    8.95520    0.00190
  62.00000    9.35470    0.00200
  63.00000    9.76930    0.00200
  64.00000   10.20080    0.00210
  65.00000   10.65170    0.00210
  66.00000   11.12160    0.00210
  67.00000   11.61220    0.00220
  68.00000   12.11390    0.00220
  69.00000   12.62740    0.00230
  70.00000   13.15010    0.00230
  71.00000   13.67770    0.00240
  72.00000   14.21820    0.00240
  73.00000   14.74020    0.00250
  74.00000   15.25810    0.00250
  75.00000   15.75670    0.00260
  76.00000   16.22840    0.00260
  77.00000   16.65990    0.00270
  78.00000   17.04140    0.00280
  79.00000   17.34180    0.00280
  80.00000   17.55220    0.00290
  80.50000   17.60590    0.00290
  81.00000   17.63200    0.00300
  81.50000   17.61390    0.00300
  82.00000   17.55030    0.00300
  82.50000   17.42420    0.00310
  83.00000   17.23420    0.00310
  83.50000   16.96530    0.00320
  84.00000   16.60990    0.00320
  84.50000   16.13670    0.00330
  85.00000   15.51890    0.00330
  85.25000   15.14240    0.00330
  85.50000   14.70880    0.00330
  85.75000   14.22080    0.00330
  86.00000   13.66040    0.00330
  86.25000   13.01500    0.00330
  86.50000   12.27050    0.00330
  86.75000   11.41710    0.00330
  87.00000   10.42570    0.00320
  87.25000    9.29640    0.00310
  87.50000    7.99370    0.00300
  87.75000    6.54620    0.00280
  88.00000    4.97130    0.00250
  88.10000    4.33490    0.00230
  88.20000    3.69350    0.00220
  88.30000    3.07360    0.00200
  88.40000    2.48450    0.00180
  88.50000    1.94030    0.00150
  88.60000    1.45670    0.00130
  88.70000    1.04580    0.00110
  88.80000    0.71070    0.00090
  88.90000    0.45640    0.00070
  89.00000    0.27560    0.00050
  89.05000    0.20850    0.00040
  89.10000    0.15640    0.00030
  89.15000    0.11540    0.00030
  89.20000    0.08400    0.00020
  89.25000    0.06030    0.00020
  89.30000    0.04300    0.00010
  89.35000    0.03010    0.00010
  89.40000    0.02110    0.00010
  89.45000    0.01460    0.00010
  89.50000    0.01010    0.00000
  89.55000    0.00690    0.00000
  89.60000    0.00490    0.00000
  89.65000    0.00340    0.00000
  89.70000    0.00250    0.00000
  89.75000    0.00180    0.00000
  89.80000    0.00140    0.00000
  89.85000    0.00110    0.00000
  89.90000    0.00100    0.00000
